国名,グループA,EAR_B国群,国連武器禁輸,懸念国
アルゼンチン,○,○,,
オーストラリア,○,○,,
オーストリア,○,○,,
ベルギー,○,○,,
ブルガリア,○,○,,
カナダ,○,○,,
チェコ,○,○,,
デンマーク,○,○,,
フィンランド,○,○,,
フランス,○,○,,
ドイツ,○,○,,
ギリシャ,○,○,,
ハンガリー,○,○,,
アイルランド,○,○,,
イタリア,○,○,,
ルクセンブルク,○,○,,
オランダ,○,○,,
ニュージーランド,○,○,,
ノルウェー,○,○,,
ポーランド,○,○,,
ポルトガル,○,○,,
スペイン,○,○,,
スウェーデン,○,○,,
スイス,○,○,,
英国,○,○,,
米国,○,○,,
韓国,○,,,
中国,,,,
ロシア,,,,
北朝鮮,,,○,○
イラン,,,○,○
イラク,,,○,○
シリア,,,○,○
キューバ,,,,○

