Countries,CB 1,CB 2,CB 3,NP 1,NP 2,NS 1,NS 2,MT 1,RS 1,RS 2,FC 1,CC 1,CC 2,CC 3,AT 1,AT 2,Special Case,Footnote,Footnote,Footnote,Footnote,Footnote,Footnote
Czech Republic 3,X,,,,,X,,X,X,,,,X,,,,,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,,,,,
Denmark 3,X,,,,,X,,X,X,,,,X,,,,,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,,,,,
Djibouti,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Dominica,X,X,,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,
Dominican Republic,X,X,,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,
Ecuador,X,X,,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,
Egypt,X,X,X,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
El Salvador,X,X,,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,
Equatorial Guinea,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Eritrea 1,X,X,,X,,X,X,X,X,X,,X,X,X,,,,See § 746.1(b) for United Nations Security Council Sanctions under the EAR. See § 746.3 for United Nations Security Council-related license requirements for exports and reexports to Iraq or transfer within Iraq under the EAR  as well as regional stability licensing requirements not included in the Country Chart.,,,,,
Estonia 3,X,,,,,X,,X,X,,,,X,,,,,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,,,,,
Eswatini,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Ethiopia,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Fiji,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Finland 3 4,X,,,,,X,,X,X,,,,X,,,,,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,See § 742.6(a)(2) and (4)(ii) regarding special provisions for exports and reexports of certain thermal imaging cameras to these countries.,,,,
France 3,X,,,,,X,,X,X,,,,X,,,,,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,,,,,
Gabon,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Gambia  The,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Georgia,X,X,X,X,,X,X,X,X,X,,X,X,,,,,,,,,,
Germany 3,X,,,,,X,,X,X,,,,X,,,,,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,,,,,
Ghana,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Greece 3,X,,,,,X,,X,X,,,,X,,,,,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,,,,,
Grenada,X,X,,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,
Guatemala,X,X,,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,
Guinea,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Guinea-Bissau,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Guyana,X,X,,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,
Haiti,X,X,,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,
Honduras,X,X,,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,
Hungary 3,X,,,,,X,,X,X,,,,X,,,,,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,,,,,
Iceland 3,X,,,,,X,,X,X,,,,X,,,,,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,,,,,
India 7,X,,,X,,X,,X,X,,,,X,,,,,Note that a license is still required for items controlled under ECCNs 6A003.b.4.b and 9A515.e for RS column 2 reasons when destined to India.,,,,,
Indonesia,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Iran 1,,,,,,,,,,,,,,,,,See part 746 of the EAR to determine whether a license is required in order to export or reexport to this destination..,See § 746.1(b) for United Nations Security Council Sanctions under the EAR. See § 746.3 for United Nations Security Council-related license requirements for exports and reexports to Iraq or transfer within Iraq under the EAR  as well as regional stability licensing requirements not included in the Country Chart.,,,,,
Iraq 1,X,X,X,X,X,X,X,X,X,X,,X,X,,,,,See § 746.1(b) for United Nations Security Council Sanctions under the EAR. See § 746.3 for United Nations Security Council-related license requirements for exports and reexports to Iraq or transfer within Iraq under the EAR  as well as regional stability licensing requirements not included in the Country Chart.,,,,,
Ireland 3 4,X,,,,,X,,X,X,,,,X,,,,,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,See § 742.6(a)(2) and (4)(ii) regarding special provisions for exports and reexports of certain thermal imaging cameras to these countries.,,,,
Israel,X,X,X,X,X,X,X,X,X,X,,X,X,X,,,,,,,,,
Italy 3,X,,,,,X,,X,X,,,,X,,,,,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,,,,,
Jamaica,X,X,,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,
Japan 3,X,,,,,X,,X,X,,,,X,,,,,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,,,,,
Jordan,X,X,X,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Kazakhstan,X,X,X,,,X,X,X,X,X,,X,X,,,,,,,,,,
Kenya,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Kiribati,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Korea  North 1,,,,,,,,,,,,,,,,,See Sections 742.19 and 746.4 of the EAR to determine whether a license is required in order to export or reexport to this destination.,See § 746.1(b) for United Nations Security Council Sanctions under the EAR. See § 746.3 for United Nations Security Council-related license requirements for exports and reexports to Iraq or transfer within Iraq under the EAR  as well as regional stability licensing requirements not included in the Country Chart.,,,,,
Korea  South 3 4,X,,,,,X,,X,X,,,,X,,,,,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,See § 742.6(a)(2) and (4)(ii) regarding special provisions for exports and reexports of certain thermal imaging cameras to these countries.,,,,
Kosovo,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Kuwait,X,X,X,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Kyrgyzstan,X,X,X,X,,X,X,X,X,X,,X,X,,,,,,,,,,
Laos,X,X,,X,,X,X,X,X,X,,X,X,,,,,,,,,,
Latvia 3,X,,,,,X,,X,X,,,,X,,,,,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,,,,,
Lebanon 1,X,X,X,X,,X,X,X,X,X,,X,X,X,,,,See § 746.1(b) for United Nations Security Council Sanctions under the EAR. See § 746.3 for United Nations Security Council-related license requirements for exports and reexports to Iraq or transfer within Iraq under the EAR  as well as regional stability licensing requirements not included in the Country Chart.,,,,,
Lesotho,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Liberia,X,X,,X,,X,X,X,X,X,,X,,X,,,,,,,,,
Libya 1,X,X,X,X,X,X,X,X,X,X,,X,X,X,,,,See § 746.1(b) for United Nations Security Council Sanctions under the EAR. See § 746.3 for United Nations Security Council-related license requirements for exports and reexports to Iraq or transfer within Iraq under the EAR  as well as regional stability licensing requirements not included in the Country Chart.,,,,,
Liechtenstein 5,X,,,,,X,,X,X,,,,X,,,,,Refer to Switzerland for licensing requirements for Liechtenstein under the EAR.,,,,,
Lithuania 3,X,,,,,X,,X,X,,,,X,,,,,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,,,,,
